%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
10.0, -152.89832988847047, -259.88564792089164, -210.85181960184127, -219.36196195101365, -0.01600000075995922, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608809893E9, 0.0, 2023-06-28 12:27:40.880
11.0, -163.47476696316153, -260.7084259111434, -97.61886864341795, -129.31639071786776, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860896695E9, 0.0, 2023-06-28 12:27:40.896
11.0, -68.48130808863789, -156.28293934836984, 11.014005369506776, -33.72454785043374, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860896695E9, 0.0, 2023-06-28 12:27:40.896
12.0, -113.11701405979693, -230.2544205719605, -171.01814517378807, -176.39051146013662, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608973966E9, 0.0, 2023-06-28 12:27:40.897
12.0, -267.6010615294799, -322.6636085771024, -179.39552107453346, -191.53710628068075, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608973966E9, 0.0, 2023-06-28 12:27:40.897
13.0, -114.90094633866102, -220.998168181628, -10.299684477970004, -62.23754511261359, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860911102E9, 0.0, 2023-06-28 12:27:40.911
13.0, -68.00260089430958, -168.84900319948792, -94.24547888338566, -120.03395902784541, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860911102E9, 0.0, 2023-06-28 12:27:40.911
14.0, -195.6117272824049, -295.5904727978632, -210.49652910605073, -218.92065375624225, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609266512E9, 0.0, 2023-06-28 12:27:40.926
14.0, -247.16998807154596, -288.20043048541993, -66.01297411788255, -94.83825302636251, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609266512E9, 0.0, 2023-06-28 12:27:40.926
15.0, -132.89360502548516, -243.2281335182488, -63.1781299514696, -88.55896100075915, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609274814E9, 0.0, 2023-06-28 12:27:40.927
15.0, -172.11019596084952, -254.44783338531852, -220.5082412874326, -231.9392455019988, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228609274814E9, 0.0, 2023-06-28 12:27:40.927
16.0, -192.75070381630212, -276.4982835240662, -103.901900568977, -133.5985761671327, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860941151E9, 0.0, 2023-06-28 12:27:40.941
16.0, -148.04393974598497, -218.5896726101637, -14.832443224266171, -53.923747511114925, -0.01600000075995922, -0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860941151E9, 0.0, 2023-06-28 12:27:40.941
